what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857129378
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857129556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857129672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857135146
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1552857137827
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857146252
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857169384
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1552857169415
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857171631
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1552857174349
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1552857174603
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1552857174872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857175421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857178939
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857179209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857189714
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1552857191252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857209950
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857262762
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1552857269324
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857275030
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857277609
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857277856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857277994
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1552857278009
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1552857278009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857293843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857301203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857307704
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857316747
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857317702
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857317896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857469800
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857472550
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1552857472888
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857472888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857476618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857478599
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1552857478615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857489632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857492524
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857498991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857508708
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857509479
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857509664
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.file.newQuickMenu",1552857589575
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857592131
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552857598818
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857599034
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1552857599219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552858089081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552858711320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552858935923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552865662845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552865670618
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552865674098
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1552865675604
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1552865678520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552865681711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552865684148
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552865684364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552865687329
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1552865687808
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1552865688595
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1552865688610
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1552865688616
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1552865688616
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1552865688616
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1552865688616
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1552865688632
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1552865688632
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1552865688632
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1552865688648
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1552865688717
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1552865688717
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1552865688732
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1552865688732
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1552865688732
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1552865688732
